INFO:     Started server process [93406]
INFO:     Waiting for application startup.
Starting MCP Registry vdev
[270/396] Imported server: io.github.programcomputer/nasa-mcp-server
[271/396] Imported server: io.github.stefanoamorelli/nasdaq-data-link-mcp
[272/396] Imported server: io.github.kyrietangsheng/mcp-server-nationalparks
[273/396] Imported server: io.github.pfldy2850/py-mcp-naver
[274/396] Imported server: io.github.taidgh-robinson/nba-mcp-server
[275/396] Imported server: io.github.r-huijts/ns-mcp-server
[276/396] Imported server: io.github.da-okazaki/mcp-neo4j-server
[277/396] Imported server: io.github.bigcodegen/mcp-neovim-server
[278/396] Imported server: io.github.kocierik/mcp-nomad
[279/396] Imported server: io.github.suekou/mcp-notion-server
[280/396] Imported server: io.github.v-3/notion-server
[281/396] Imported server: io.github.teddyzxcv/ntfy-mcp
[282/396] Imported server: io.github.gitmotion/ntfy-me-mcp
[283/396] Imported server: io.github.calclavia/mcp-obsidian
[284/396] Imported server: io.github.stevenstavrakis/obsidian-mcp
[285/396] Imported server: io.github.yuanooo/oceanbase_mcp_server
[286/396] Imported server: io.github.gongrzhe/office-powerpoint-mcp-server
[287/396] Imported server: io.github.gongrzhe/office-word-mcp-server
[288/396] Imported server: io.github.kapilduraphe/okta-mcp-server
[289/396] Imported server: io.github.conechoai/openai-websearch-mcp
[290/396] Imported server: io.github.snaggle-ai/openapi-mcp-server
[291/396] Imported server: io.github.baryhuang/mcp-server-any-openapi
[292/396] Imported server: io.github.hannesj/mcp-openapi-schema
[293/396] Imported server: io.github.spathodea-network/opencti-mcp
[294/396] Imported server: io.github.asusevski/opendota-mcp-server
[295/396] Imported server: io.github.shanejonas/openrpc-mpc-server
[296/396] Imported server: io.github.open-strategy-partners/osp_marketing_tools
[297/396] Imported server: io.github.vortiago/mcp-outline
[298/396] Imported server: io.github.kukapay/pancakeswap-poolspy-mcp
[299/396] Imported server: io.github.vivekvells/mcp-pandoc
[300/396] Imported server: io.github.sv/mcp-paradex-py
[301/396] Imported server: io.github.hungryrobot1/mcp-pif
[302/396] Imported server: io.github.sirmews/mcp-pinecone
[303/396] Imported server: io.github.felores/placid-mcp-server
[304/396] Imported server: io.github.kelvin6365/plane-mcp-server
[305/396] Imported server: io.github.executeautomation/mcp-playwright
[306/396] Imported server: io.github.shannonlal/mcp-postman
[307/396] Imported server: io.github.allen-munsch/mcp-prefect
[308/396] Imported server: io.github.kenjihikmatullah/productboard-mcp
[309/396] Imported server: io.github.pab1it0/prometheus-mcp-server
[310/396] Imported server: io.github.sssjiang/pubchem_mcp_server
[311/396] Imported server: io.github.dogukanakkaya/pulumi-mcp-server
[312/396] Imported server: io.github.djannot/puppeteer-vision-mcp
[313/396] Imported server: io.github.ashiknesin/pushover-mcp
[314/396] Imported server: io.github.jjsantos01/qgis_mcp
[315/396] Imported server: io.github.gongrzhe/quickchart-mcp-server
[316/396] Imported server: io.github.66julienmartin/mcp-server-qwen_max
[317/396] Imported server: io.github.kenliao94/mcp-server-rabbitmq
[318/396] Imported server: io.github.apify/mcp-server-rag-web-browser
[319/396] Imported server: io.github.hiromitsusasaki/raindrop-io-mcp-server
[320/396] Imported server: io.github.dschuler36/reaper-mcp-server
[321/396] Imported server: io.github.gongrzhe/redis-mcp-server
[322/396] Imported server: io.github.prajwalnayak7/mcp-server-redis
[323/396] Imported server: io.github.skydeckai/mcp-server-rememberizer
[324/396] Imported server: io.github.deepfates/mcp-replicate
[325/396] Imported server: io.github.xxxbrian/mcp-rquest
[326/396] Imported server: io.github.r-huijts/rijksmuseum-mcp
[327/396] Imported server: io.github.jifrozen0110/mcp-riot
[328/396] Imported server: io.github.smn2gnt/mcp-salesforce
[329/396] Imported server: io.github.adityak74/mcp-scholarly
[330/396] Imported server: io.github.cyberchitta/scrapling-fetch-mcp
[331/396] Imported server: io.github.ihor-sokoliuk/mcp-searxng
[332/396] Imported server: io.github.stefanoamorelli/sec-edgar-mcp
[333/396] Imported server: io.github.osomai/servicenow-mcp
[334/396] Imported server: io.github.geli2001/shopify-mcp
[335/396] Imported server: io.github.dvcrn/mcp-server-siri-shortcuts
[336/396] Imported server: io.github.isaacwasserman/mcp-snowflake-server
[337/396] Imported server: io.github.szeider/mcp-solver
[338/396] Imported server: io.github.yeonupark/mcp-soccer-data
[339/396] Imported server: io.github.sendaifun/solana-agent-kit
[340/396] Imported server: io.github.varunneal/spotify-mcp
[341/396] Imported server: io.github.r-huijts/strava-mcp
[342/396] Imported server: io.github.atharvagupta2003/mcp-stripe
[343/396] Imported server: io.github.wilsonchenghy/shadertoy-mcp
[344/396] Imported server: io.github.sonnylazuardi/cursor-talk-to-figma-mcp
[345/396] Imported server: io.github.laksh-star/mcp-server-tmdb
[346/396] Imported server: io.github.ramxx/mcp-tavily
[347/396] Imported server: io.github.arturborycki/mcp-teradata
[348/396] Imported server: io.github.gongrzhe/terminal-controller-mcp
[349/396] Imported server: io.github.geli2001/tft-mcp-server
[350/396] Imported server: io.github.kukapay/thegraph-mcp
[351/396] Imported server: io.github.delorenj/mcp-server-ticketmaster
[352/396] Imported server: io.github.alexarevalo9/ticktick-mcp-server
[353/396] Imported server: io.github.abhiz123/todoist-mcp-server
[354/396] Imported server: io.github.kukapay/token-minter-mcp
[355/396] Imported server: io.github.kukapay/token-revoke-mcp
[356/396] Imported server: io.github.suhail-ak-s/mcp-typesense-server
[357/396] Imported server: io.github.gongrzhe/travel-planner-mcp-server
[358/396] Imported server: io.github.kukapay/uniswap-poolspy-mcp
[359/396] Imported server: io.github.kukapay/uniswap-trader-mcp
[360/396] Imported server: io.github.ognis1205/mcp-server-unitycatalog
[361/396] Imported server: io.github.codergamester/mcp-unity
[362/396] Imported server: io.github.quazaai/unitymcpintegration
[363/396] Imported server: io.github.isaacwasserman/mcp-vegalite-server
[364/396] Imported server: io.github.burningion/video-editing-mcp
[365/396] Imported server: io.github.13rac1/videocapture-mcp
[366/396] Imported server: io.github.mfukushim/map-traveler-mcp
[367/396] Imported server: io.github.dinghuazhou/sample-mcp-server-tos
[368/396] Imported server: io.github.wanaku-ai/wanaku
[369/396] Imported server: io.github.kapilduraphe/webflow-mcp-server
[370/396] Imported server: io.github.kukapay/whale-tracker-mcp
[371/396] Imported server: io.github.bharathvaj-ganesan/whois-mcp
[372/396] Imported server: io.github.zzaebok/mcp-wikidata
[373/396] Imported server: io.github.simonb97/win-cli-mcp-server
[374/396] Imported server: io.github.anshumax/world_bank_mcp_server
[375/396] Imported server: io.github.enescinr/twitter-mcp
[376/396] Imported server: io.github.vidhupv/x-mcp
[377/396] Imported server: io.github.shenghaiwang/xcodebuild
[378/396] Imported server: io.github.john-zhang-dev/xero-mcp
[379/396] Imported server: io.github.xgenerationlab/xiyan_mcp_server
[380/396] Imported server: io.github.apeyroux/mcp-xmind
[381/396] Imported server: io.github.chuckbryan/ynabmcpserver
[382/396] Imported server: io.github.zubeidhendricks/youtube-mcp-server
[383/396] Imported server: io.github.prathamesh0901/zoom-mcp-server
[384/396] Imported server: io.github.isdaniel/mcp_weather_serverINFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:8080 (Press CTRL+C to quit)

[385/396] Imported server: io.github.zcaceres/easy-mcp
[386/396] Imported server: io.github.tadata-org/fastapi_mcp
[387/396] Imported server: io.github.punkpeye/fastmcp
[388/396] Imported server: io.github.mcpdotdirect/template-mcp-server
[389/396] Imported server: io.github.marimo-team/codemirror-mcp
[390/396] Imported server: io.github.jaw9c/awesome-remote-mcp-servers
[391/396] Imported server: io.github.mcp-router/mcp-router
[392/396] Imported server: io.github.wong2/mcp-cli
[393/396] Imported server: io.github.pathintegral-institute/mcpm.sh
[394/396] Imported server: io.github.zueai/mcp-manager
[395/396] Imported server: io.github.jeamee/mcphub-desktop
[396/396] Imported server: io.github.chatmcp/mcp-directory
Memory database import completed successfully
Seed data import completed successfully
MCP Registry started successfully
- Database: DatabaseType.MEMORY
- Auth enabled: False
- Version: dev
INFO:     127.0.0.1:61280 - "GET /v0/servers?limit=5 HTTP/1.1" 200 OK
INFO:     127.0.0.1:61305 - "HEAD /v0/health HTTP/1.1" 405 Method Not Allowed
INFO:     127.0.0.1:61376 - "GET /v0/servers?limit=100 HTTP/1.1" 200 OK
INFO:     127.0.0.1:61376 - "GET /v0/servers?limit=20 HTTP/1.1" 200 OK
INFO:     127.0.0.1:61379 - "GET /v0/servers?limit=40 HTTP/1.1" 200 OK
